USER:test | ADDR:test
QUESTION:teat
--- RAW 150 ENTROPY POOL ---
[000][H] 0.798990
[COLLAPSE_STALK_23] INDEX:133 TAG:P VAL:0.200981
[COLLAPSE_STALK_24] INDEX:048 TAG:H VAL:0.169218
[COLLAPSE_STALK_25] INDEX:098 TAG:E VAL:0.994267
[COLLAPSE_STALK_26] INDEX:128 TAG:P VAL:0.225804
[COLLAPSE_STALK_27] INDEX:127 TAG:P VAL:0.576449
[COLLAPSE_STALK_28] INDEX:073 TAG:E VAL:0.555400
[COLLAPSE_STALK_29] INDEX:139 TAG:P VAL:0.682068
[COLLAPSE_STALK_30] INDEX:124 TAG:P VAL:0.139496
[COLLAPSE_STALK_31] INDEX:059 TAG:E VAL:0.830005
[COLLAPSE_STALK_32] INDEX:041 TAG:H VAL:0.624041
[COLLAPSE_STALK_33] INDEX:149 TAG:P VAL:0.120741
[COLLAPSE_STALK_34] INDEX:131 TAG:P VAL:0.276885
[COLLAPSE_STALK_35] INDEX:089 TAG:E VAL:0.836619
[COLLAPSE_STALK_36] INDEX:101 TAG:P VAL:0.918968
[COLLAPSE_STALK_37] INDEX:077 TAG:E VAL:0.999314
[COLLAPSE_STALK_38] INDEX:008 TAG:H VAL:0.699362
[COLLAPSE_STALK_39] INDEX:067 TAG:E VAL:0.665336
[COLLAPSE_STALK_40] INDEX:021 TAG:H VAL:0.694348
[COLLAPSE_STALK_41] INDEX:024 TAG:H VAL:0.441877
[COLLAPSE_STALK_42] INDEX:005 TAG:H VAL:0.698230
[COLLAPSE_STALK_43] INDEX:061 TAG:E VAL:0.182368
[COLLAPSE_STALK_44] INDEX:086 TAG:E VAL:0.929390
[COLLAPSE_STALK_45] INDEX:100 TAG:P VAL:0.803861
[COLLAPSE_STALK_46] INDEX:019 TAG:H VAL:0.412972
[COLLAPSE_STALK_47] INDEX:136 TAG:P VAL:0.322795
[COLLAPSE_STALK_48] INDEX:047 TAG:H VAL:0.570865
[COLLAPSE_STALK_49] INDEX:043 TAG:H VAL:0.936033
爻1: 7 | H:21.4% E:28.6% P:50.0%
爻2: 7 | H:21.4% E:28.6% P:50.0%
爻3: 7 | H:21.4% E:28.6% P:50.0%
爻4: 9 | H:19.4% E:30.6% P:50.0%
爻5: 8 | H:18.8% E:31.2% P:50.0%
爻6: 7 | H:21.4% E:28.6% P:50.0%
